date,product_code,customer_code,sold_quantity
01-01-2024,ARCHDDE20D,70002017,161
01-01-2024,ARCH158F41,70002017,133
01-01-2024,ARCHAFF0E4,70002017,76
01-01-2024,ARCH6B94F7,70002017,92
01-01-2024,ARCH5D1FE7,70002017,117
01-01-2024,ARCH7B49A9,70002017,36
01-01-2024,ARCH497D34,70002017,98
01-01-2024,ARCHE71D79,70002017,156
01-01-2024,BADM88C384,70002017,28
01-01-2024,BADMA5EBA3,70002017,33
01-01-2024,BADM4BAB38,70002017,22
01-01-2024,BADMDC6AB1,70002017,26
01-01-2024,BADM50C510,70002017,15
01-01-2024,BADM2459FB,70002017,21
01-01-2024,BADM9DDCED,70002017,68
01-01-2024,BADMD11DA6,70002017,123
01-01-2024,BADMDA1B05,70002017,54
01-01-2024,BADM376040,70002017,83
01-01-2024,BADM03A202,70002017,14
01-01-2024,BADME151E6,70002017,109
01-01-2024,BADMDA5EC8,70002017,118
01-01-2024,BADM48A260,70002017,53
01-01-2024,BADM8FFE12,70002017,32
01-01-2024,BADM1B8332,70002017,113
01-01-2024,BADM7E90FB,70002017,60
01-01-2024,BASK7F5383,70002017,110
01-01-2024,BASKEE612D,70002017,45
01-01-2024,BASK4C69DF,70002017,111
01-01-2024,BASK9E4294,70002017,124
01-01-2024,BASKEE32E4,70002017,21
01-01-2024,BASKE57A19,70002017,72
01-01-2024,BASK728A58,70002017,90
01-01-2024,BASKED86BF,70002017,99
01-01-2024,BASK32528E,70002017,30
01-01-2024,CAMP24F868,70002017,94
01-01-2024,CAMPA3B110,70002017,16
01-01-2024,CAMPEE1159,70002017,118
01-01-2024,CAMP7A5E65,70002017,53
01-01-2024,CAMP69AF0F,70002017,14
01-01-2024,CAMP10C410,70002017,22
01-01-2024,CAMPECAADE,70002017,39
01-01-2024,CAMPF24336,70002017,39
01-01-2024,CAMPE624C8,70002017,44
01-01-2024,CAMP11E3FA,70002017,109
01-01-2024,CAMPCB6B05,70002017,15
01-01-2024,CAMPDFA679,70002017,88
01-01-2024,CAMP4005E6,70002017,102
01-01-2024,CRIC6888B0,70002017,10
01-01-2024,CRICE4E9A2,70002017,5
01-01-2024,CRIC670481,70002017,15
01-01-2024,CRICCCD675,70002017,5
01-01-2024,CRIC05FECB,70002017,29
01-01-2024,CRIC681856,70002017,10
01-01-2024,CRICBBFD56,70002017,32
01-01-2024,CRIC57FB52,70002017,32
01-01-2024,CRIC294CD6,70002017,24
01-01-2024,CRIC892BAA,70002017,15
01-01-2024,CRIC2AE4DF,70002017,5
01-01-2024,CRICC0D928,70002017,12
